internal_id,lichess_game_id,move_number,lichess_url,fen,best_move,difficulty,initiative,development,endgame,space,trading,prophylaxis,coordination,exploitingweakness,kingsafety,restriction,fixingstructure,centrecontrol,other,side_to_move
31353,F9vSWu0N,25,https://lichess.org/F9vSWu0N#25,r1bk3r/2p2p1p/2p2p2/p3p3/8/2PB4/P1P2PPP/R4RK1 b - - 1 13,f6f5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,b
31356,OwOAsXVt,32,https://lichess.org/OwOAsXVt#32,r2q1rk1/1bpp1pp1/5n1p/8/p1p1PP2/2P1B2P/PPB3P1/R2Q1RK1 w - - 0 17,e4e5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,w
31357,QnkjjgqS,30,https://lichess.org/QnkjjgqS#30,r2q1rk1/ppp2ppp/5n2/7b/3pP3/1P3PP1/P1PN2BP/R2Q1R1K w - - 0 16,g3g4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,w
31358,PlfJcpCa,16,https://lichess.org/PlfJcpCa#16,rnb1k1nr/pp2bpp1/2pp3p/4p3/4P3/2NPBN1P/PPPQBPq1/R3K2R w KQkq - 0 9,e1c1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,w
31360,5U0oU179,36,https://lichess.org/5U0oU179#36,r4rk1/1b1p1p1p/p1n3p1/1p1B4/8/P1N1q3/1P4PP/R2Q1R1K w - - 2 19,c3e4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,w
31361,uhJhuzOx,18,https://lichess.org/uhJhuzOx#18,rnbqr1k1/pp3pbp/2p1pnp1/8/4P3/5NP1/PPPN1PBP/R1BQR1K1 w - - 1 10,e4e5,2,0,1,0,1,0,0,0,0,0,0,0,0,0,w
31363,aLKyImUD,16,https://lichess.org/aLKyImUD#16,rnb1k2r/p1p1ppbp/1p4p1/4P3/5Bn1/5N2/PPP2PPP/R2NKB1R w KQkq - 0 9,h2h3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,w
31366,AnKlLKi0,24,https://lichess.org/AnKlLKi0#24,r3kb1r/1pp1p1pp/8/pb1qNp2/2pPn3/B3P3/P1P2PPP/RN1Q1RK1 w kq - 2 13,f2f3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,w
31367,R6cswKfO,14,https://lichess.org/R6cswKfO#14,r1bqk1nr/1p2ppbp/p1np2p1/8/4P3/2N1BN2/PPPQ1PPP/R3KB1R w KQkq - 2 8,c3d5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,w
31373,LnFyoRTR,43,https://lichess.org/LnFyoRTR#43,r3r1k1/pp3pp1/2pb4/6qp/3Pp3/BP2P1P1/P4PKP/R1Q1R3 b - - 1 22,d6c7,4,0,0,0,0,1,0,0,0,0,0,0,0,0,b
31377,BpWEAKN2,22,https://lichess.org/BpWEAKN2#22,r2q1rk1/pppb2pp/2n1p3/3n1p2/3PQ3/2PB1NP1/PP3PP1/R1B1K2R w KQ f6 0 12,e4e2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,w
31379,QTRRy7jX,19,https://lichess.org/QTRRy7jX#19,r1bq1k1r/pppnb1p1/4pnBp/8/3P4/5N2/PPP2PPP/R1BQ1RK1 b - - 5 10,f8g8,2,0,1,0,0,0,0,1,0,1,0,0,0,0,b
31380,n2sLN1W6,34,https://lichess.org/n2sLN1W6#34,2k4r/ppprbpp1/2n5/3p4/5N1p/2PP4/PP1N1P2/R1BR2K1 w - - 0 18,d3d4,2,0,0,0,1,0,0,1,0,0,0,0,0,0,w
31381,kmDKxA93,13,https://lichess.org/kmDKxA93#13,r1bqk2r/1pp2ppp/p1np1n2/2b1p3/P7/1PN1PB2/1BPP1PPP/R2QK1NR b KQkq - 1 7,d6d5,2,0,1,0,1,0,0,0,0,0,0,0,0,0,b
31382,6yP3xXqN,14,https://lichess.org/6yP3xXqN#14,r2qkb1r/pb1ppppp/1p3n2/1B6/3QP3/2N5/PPP2PPP/R1B1K2R w KQkq - 3 8,e4e5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,w
31383,5JHYW6VF,18,https://lichess.org/5JHYW6VF#18,r1bqk2r/pp1pppbp/2n3pn/4P3/3PN3/5N2/PP1B1PPP/R2QKB1R w KQkq - 9 10,d4d5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,w
31385,eLl8plx5,44,https://lichess.org/eLl8plx5#44,r6k/3qp1p1/p2p1r1p/2p1n3/4P3/1P1PB2P/1QP2PP1/R4RK1 w - - 3 23,f2f4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,w
31386,iaxlemad,34,https://lichess.org/iaxlemad#34,r1bq1rk1/1p5p/p1n1ppp1/2n5/2P5/NPB5/P1BPQ1PP/R4RK1 w - - 4 18,e2e3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,w
31387,fMxTTkH9,54,https://lichess.org/fMxTTkH9#54,1k2r1r1/pp6/2p5/3q1Pp1/3P2Qb/2BP1R2/PP6/R5K1 w - - 5 28,f5f6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,w
31389,Y8SDRugA,48,https://lichess.org/Y8SDRugA#48,1r2k3/5pp1/1p2pn2/1p6/3p1P2/P4BP1/1P1N1K1r/R1B5 w - - 3 25,f2g1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,w
31390,mJzPmaD1,28,https://lichess.org/mJzPmaD1#28,r1b1kb1r/ppppn1p1/7p/3B2N1/4R3/8/PB3PPP/R5K1 w kq - 0 15,g5f7,2,1,0,0,0,0,0,1,0,0,0,0,0,0,w
31391,iAfTnvWB,16,https://lichess.org/iAfTnvWB#16,r3kbnr/pp2ppp1/n1p3q1/7p/3P2b1/P1N2B2/1PP1NPPP/R1BQK2R w KQkq - 1 9,f3e4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,w
31392,LYnb35eG,19,https://lichess.org/LYnb35eG#19,r1bq1rk1/pp2b1pp/2n1pn2/2p1Pp2/3p1P2/3P1NNP/PPP1Q1P1/R1B1KB1R b KQ - 0 10,f6d5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,b
31393,Ue2d4wTT,16,https://lichess.org/Ue2d4wTT#16,rn1q1rk1/ppp2pbp/3p1p2/6pP/3PP1b1/2N2N2/PPP2PP1/R2QKB1R w KQ - 0 9,h5h6,2,1,0,0,1,0,0,0,0,0,0,0,0,0,w
31394,BTt9NwvO,45,https://lichess.org/BTt9NwvO#45,2kr3r/pp1nbb2/2p5/3p4/3PpNPp/4B3/PPP1B3/2K3RR b - - 5 23,d8g8,1,0,1,0,0,0,0,1,0,0,0,0,0,0,b
